Carbon_Source,Suitable,Category,Recommendation,Reasoning,Suggested_Alternative
Prebiotin-prebiotic,False,proprietary,exclude,"Brand-name prebiotic blend (inulin/FOS) rather than a single defined metabolite, so it cannot be uniquely represented or mapped in a GEM.",D-Fructose (KEGG C00095)
PreticX-prebiotic,False,proprietary,use_monomer,"PreticX is a branded xylo-oligosaccharide mixture, not a single defined metabolite; model with its monomer instead.",D-Xylose
Promitor-fiber,False,proprietary,use_monomer,"Promitor-fiber is a proprietary soluble corn fiber/resistant maltodextrin blend, not a single defined metabolite; represent as glucose monomers in a model.",D-Glucose
Protocatechuic Acid,True,simple_metabolite,use,"Protocatechuic acid (3,4-dihydroxybenzoic acid) is a single defined aromatic compound that many bacteria catabolize via the protocatechuate/beta-ketoadipate pathway and it maps to KEGG/ModelSEED.",
Putrescine Dihydrochloride,True,simple_metabolite,use,"A defined salt of putrescine; represent as putrescine in models, which many bacteria can catabolize and is mappable in KEGG/ModelSEED/BiGG.","Putrescine (1,4-diaminobutane)"
Red Arabinan from sugar-beet,False,proprietary,use_monomer,"This is a commercial dyed arabinan polymer from sugar beet, not a defined single metabolite; model the monomer L-arabinose instead.",L-Arabinose
Rhamnogalacturonan - from potato,False,polymer,use_monomer,"Rhamnogalacturonan (from potato) is a heterogeneous pectic polysaccharide, not a single defined metabolite; model its constituent sugars instead.",D-galacturonic acid; L-rhamnose; L-arabinose; D-galactose
Sebacic acid,True,simple_metabolite,manual_review,"Sebacic acid (decanedioic acid) is a defined single metabolite mappable to KEGG/ModelSEED, but it is a non-typical carbon source only catabolized by certain bacteria and may require specific dicarboxylate/β-oxidation pathways in the model.",D-Glucose
Shikimic Acid,False,simple_metabolite,manual_review,"Shikimic acid is a defined, mappable metabolite, but it is primarily a biosynthetic intermediate and only certain microbes can use it as a sole carbon source.",D-Glucose
"Sodium D,L-Lactate",True,unclear,manual_review,"This is a racemic mixture (D- and L-lactate); GEMs usually require a specific isomer, both of which are typical carbon sources and map to databases (e.g., KEGG L-lactate C00186, D-lactate C05975).",L-Lactate
Sodium D-Lactate,True,simple_metabolite,use,"Defined sodium salt of D-lactic acid; model as D-lactate, a common bacterial carbon source, and mapable (e.g., KEGG C00256).",D-Lactate
Sodium Formate,True,simple_metabolite,use,"Defined sodium salt of formic acid; model as the formate anion, a valid C1 substrate for certain microbes, and it maps to databases (e.g., KEGG C00058, ModelSEED cpd00047).",Formate (HCOO-)
Sodium Fumarate dibasic,True,simple_metabolite,use,Disodium salt of fumarate; a defined single metabolite (fumarate2−) that many bacteria can use as a carbon source and maps to KEGG/ModelSEED.,
Sodium L-Lactate,True,simple_metabolite,use,"Defined sodium salt of L-lactic acid; lactate is a common bacterial carbon source and maps to databases (e.g., KEGG C00186, ModelSEED cpd00159).",L-Lactate (lactate anion)
Sodium acetate,True,simple_metabolite,use,"Defined salt that provides acetate, a common bacterial carbon source; represent as acetate anion (e.g., KEGG C00033, ModelSEED cpd00029).",
Sodium adipate,True,simple_metabolite,manual_review,"A defined sodium salt of adipic acid; model as adipate, which is in KEGG/ModelSEED, but it is not a typical universal carbon source and requires organism-specific pathways.",Adipate (adipic acid)
Sodium butyrate,True,simple_metabolite,use,"Defined sodium salt of butyrate; model as the butyrate anion, a common SCFA many bacteria can catabolize and is mappable (e.g., KEGG/ModelSEED).",Butyrate (butanoate)
Sodium octanoate,True,simple_metabolite,use,"Defined sodium salt of octanoic acid; can be modeled as the octanoate anion, is a typical fatty-acid carbon source (beta-oxidation), and maps to databases (e.g., KEGG/ModelSEED/BiGG).",octanoate (caprylate) anion
Sodium propionate,True,simple_metabolite,use,"Defined salt that dissociates to propionate, which is a common bacterial carbon source and is well represented in KEGG/ModelSEED.",Propionate (propanoate)
Sodium pyruvate,True,simple_metabolite,use,"Defined salt of pyruvate; represent as pyruvate in the model (e.g., KEGG C00022, ModelSEED cpd00020) since Na+ is a counterion.",
Sodium succinate dibasic hexahydrate,True,simple_metabolite,use,"Defined disodium salt hydrate of succinate; model as succinate (ignore Na+ and waters), a common bacterial carbon source mappable to KEGG C00042/ModelSEED cpd00036.",succinate
Stachyose - 70%,False,complex_mixture,exclude,"The '70%' indicates an impure mixture, not a single defined metabolite; use pure stachyose, which is a defined oligosaccharide that can be mapped to KEGG/ModelSEED and metabolized by some bacteria.",Stachyose
Starch,False,polymer,use_monomer,"Starch is a variable-length glucose polysaccharide (amylose/amylopectin) and not a single defined metabolite, so model its uptake as glucose.",D-Glucose
Suberic acid,True,simple_metabolite,manual_review,Defined C8 dicarboxylic acid (octanedioate) mappable to KEGG/ChEBI; usable only if the organism/model includes suberate/dicarboxylate uptake and oxidation pathways.,succinate
Succinic Acid,True,simple_metabolite,use,A defined dicarboxylic acid (succinate) that many bacteria metabolize via the TCA cycle and is readily mapped in KEGG/ModelSEED.,
Sucrose,True,simple_metabolite,use,"Sucrose is a defined disaccharide that can be modeled as a single metabolite, is commonly metabolized by many bacteria, and maps to databases (e.g., KEGG C00089).",
Sunfiber-fiber,False,proprietary,use_monomer,"Sunfiber is a branded partially hydrolyzed guar gum (galactomannan) mixture, not a single defined metabolite; represent via monomers in GEMs.",D-Galactose; D-Mannose
Supernatant; Agrobacterium rhizogenes K599 grown in Agro_defined_trehalose (~7.5 mM 3-keto-trehalose),False,complex_mixture,exclude,"It is a spent culture supernatant (mixture) rather than a single defined metabolite, so it cannot be represented as one carbon source in a GEM.",Trehalose
Thymidine,True,simple_metabolite,use,"Thymidine is a defined nucleoside that can be represented as a single metabolite, is catabolized by many bacteria via nucleoside/deoxyribose pathways, and maps to KEGG/ModelSEED.",
Thymine,False,simple_metabolite,manual_review,"Thymine is a defined, mappable nucleobase, but it is not a typical carbon source and catabolism is organism-specific.",D-Glucose
Trisodium citrate dihydrate,True,simple_metabolite,use,"Defined salt of citrate; model as citrate anion, widely used as a bacterial carbon source and maps to KEGG C00158/ModelSEED citrate.",
Tween 20,False,proprietary,exclude,"Tween 20 (polysorbate 20) is a trade-name mixture of ethoxylated sorbitan monolaurate, not a single defined metabolite and not mappable as one entity in GEMs.",Dodecanoate (laurate)
Uridine,True,simple_metabolite,use,"Uridine is a defined nucleoside that many bacteria can catabolize (e.g., via nucleoside phosphorylase), and it maps to standard databases (e.g., KEGG C00299).",
Valeric acid,True,simple_metabolite,use,Valeric acid (pentanoate) is a defined single SCFA that many bacteria can catabolize via β-oxidation and it maps to databases like KEGG/ModelSEED.,
Vanillic Acid,True,simple_metabolite,use,"Vanillic acid (vanillate) is a defined aromatic compound that many bacteria catabolize (e.g., via protocatechuate pathway) and is mappable in databases like KEGG/ModelSEED.",
Vanillin,True,simple_metabolite,use,Vanillin is a single defined compound that bacteria with aromatic catabolism can use as carbon (via vanillate/protocatechuate) and it maps to KEGG/ModelSEED.,
Vitafiber-prebiotic,False,proprietary,use_monomer,"VitaFiber-prebiotic is a branded mixture of isomaltooligosaccharides/soluble corn fiber, not a single defined compound, so represent it by its monomeric sugar in models.",D-Glucose
Vitagos-prebiotic,False,proprietary,use_monomer,"Vitagos-prebiotic is a branded galactooligosaccharide (GOS) mixture, not a single defined compound; represent it by its monomer.",D-Galactose (KEGG:C00181; ModelSEED:cpd00113)
WakoIMO-prebiotic,False,proprietary,exclude,"Likely a branded isomaltooligosaccharide prebiotic mixture rather than a single defined metabolite, so it cannot be uniquely represented or mapped in a GEM.",D-Glucose
Xylitol,True,simple_metabolite,use,A defined sugar alcohol (C5H12O5) that is a single metabolite; many bacteria convert it to xylulose via xylitol dehydrogenase; mappable in KEGG/ChEBI.,
Yacontrol-prebiotic,False,proprietary,manual_review,"Appears to be a branded prebiotic mixture, not a single defined compound, so it cannot be represented or mapped as one metabolite.",D-Glucose
a-Cyclodextrin,False,simple_metabolite,manual_review,"Alpha-cyclodextrin is a defined cyclic hexasaccharide that can be mapped and represented, but only specific microbes metabolize it and it’s not a typical GEM carbon source.",D-Glucose
a-Ketoglutaric acid disodium salt hydrate,True,simple_metabolite,use,"Defined salt hydrate of a single metabolite (alpha-ketoglutarate/2-oxoglutarate), a common TCA intermediate that many bacteria can metabolize and maps to databases (e.g., KEGG C00026, ModelSEED akg).",2-oxoglutarate (alpha-ketoglutarate)
amylopectin from maize,False,polymer,use_monomer,"Amylopectin is a branched starch polymer with variable composition, so model uptake via its monomer glucose instead.",D-Glucose
benzoic acid,True,simple_metabolite,use,"Benzoic acid (benzoate) is a defined single metabolite that many bacteria can catabolize via benzoate degradation pathways and it maps to databases (e.g., KEGG C00180).",
casamino acids,False,complex_mixture,exclude,"Casamino acids is an undefined casein hydrolysate mixture of many amino acids/peptides, not a single defined metabolite for GEMs.","Use individual defined L-amino acids (e.g., L-alanine, L-glutamate) as separate carbon sources"
"dextran, Mw ~200,000",False,polymer,use_monomer,"Dextran (Mw ~200,000) is a heterogeneous alpha-1,6-linked glucose polymer, not a single defined metabolite; model with its monomer.",D-Glucose
m-Inositol,True,simple_metabolite,use,"Defined single inositol isomer (sugar alcohol) commonly metabolized by bacteria and mappable to databases (e.g., KEGG C00137).",
p-Coumaric acid,True,simple_metabolite,manual_review,"Defined single compound (4-coumarate; KEGG C00811) that some bacteria can catabolize, but it is not a common universal carbon source.",D-Glucose
palatinose hydrate,True,simple_metabolite,use,"Palatinose hydrate is the defined disaccharide isomaltulose (hydrate form), representable as a single metabolite that many microbes can catabolize and is mappable in KEGG/ChEBI/ModelSEED.",
polygalacturonic acid,False,polymer,use_monomer,Polygalacturonic acid is a pectin polysaccharide (variable length) and not a single metabolite; model its monomer D-galacturonate instead.,D-galacturonate (D-galacturonic acid)
