organism,orgId,carbon_source,error
Burkholderia phytofirmans PsJN,BFirm,L-Malic acid disodium salt monohydrate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Methionine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Ornithine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Phenylalanine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Proline,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Serine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Sorbose,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Threonine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Tryptophan,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-Valine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,L-tyrosine disodium salt,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Lacto-N-tetraose,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Lactulose,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Lauric acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Levulinic Acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Malonic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Melibiose,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Myristic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,N-Acetyl-D-Glucosamine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Nonanoic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Octanoic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Oleic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Phenylacetic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Pimelic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Potassium acetate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Protocatechuic Acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Putrescine Dihydrochloride,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sebacic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Shikimic Acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,"Sodium D,L-Lactate",FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium D-Lactate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium Formate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium Fumarate dibasic,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium L-Lactate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium acetate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium adipate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium butyrate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium octanoate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium propionate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium pyruvate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Sodium succinate dibasic hexahydrate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Succinic Acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Thymidine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Trisodium citrate dihydrate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Uridine,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Valeric acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Vanillic Acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Vanillin,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,Xylitol,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,a-Ketoglutaric acid disodium salt hydrate,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,benzoic acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,m-Inositol,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,p-Coumaric acid,FBA error: 'cpd00007'
Burkholderia phytofirmans PsJN,BFirm,palatinose hydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,"1,2-Propanediol",FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,"1,3-Butandiol",FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,1-Pentanol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,2-methyl-1-butanol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,3-Methyl-2-Oxobutanoic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,3-methyl-1-butanol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,3-methyl-2-oxopentanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,4-Aminobutyric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,4-Hydroxybenzoic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,4-Methyl-2-oxovaleric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,5-Aminovaleric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Adenosine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Agro_defined_trehalose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Beta-Lactose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Butanol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Citric Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Cytidine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,"D,L-Malic Acid",FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Alanine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Arabinose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Fructose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Galactose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Galacturonic Acid monohydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Glucosamine Hydrochloride,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Glucose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Glucose-6-Phosphate sodium salt,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Lysine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Mannitol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Mannose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Raffinose pentahydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Ribose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Salicin,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Serine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Sorbitol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Tagatose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Trehalose dihydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,D-Xylose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Decanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Disodium Glutarate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Ethanol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Ferulic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Fumaric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Gly-Glu,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Glycerol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Glycine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Glycolic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Heptanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Hexanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Hydroxy-L-Proline,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Inosine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Isomaltose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Itaconic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Alanine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Arabinose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Arginine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Asparagine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Aspartic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Citrulline,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Cysteine hydrochloride monohydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Fucose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Glutamic acid monopotassium salt monohydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Glutamine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Histidine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Isoleucine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Leucine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Lysine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Malic acid disodium salt monohydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Methionine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Ornithine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Phenylalanine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Proline,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Serine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Sorbose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Threonine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Tryptophan,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-Valine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,L-tyrosine disodium salt,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Lacto-N-tetraose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Lactulose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Lauric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Levulinic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Malonic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Melibiose,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Myristic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,N-Acetyl-D-Glucosamine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Nonanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Octanoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Oleic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Phenylacetic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Pimelic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Potassium acetate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Protocatechuic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Putrescine Dihydrochloride,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sebacic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Shikimic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,"Sodium D,L-Lactate",FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium D-Lactate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium Formate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium Fumarate dibasic,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium L-Lactate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium acetate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium adipate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium butyrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium octanoate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium propionate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium pyruvate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Sodium succinate dibasic hexahydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Succinic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Thymidine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Trisodium citrate dihydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Uridine,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Valeric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Vanillic Acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Vanillin,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,Xylitol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,a-Ketoglutaric acid disodium salt hydrate,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,benzoic acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,m-Inositol,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,p-Coumaric acid,FBA error: 'cpd00007'
Caulobacter crescentus NA1000,Caulo,palatinose hydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,"1,2-Propanediol",FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,"1,3-Butandiol",FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,1-Pentanol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,2-methyl-1-butanol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,3-Methyl-2-Oxobutanoic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,3-methyl-1-butanol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,3-methyl-2-oxopentanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,4-Aminobutyric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,4-Hydroxybenzoic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,4-Methyl-2-oxovaleric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,5-Aminovaleric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Adenosine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Agro_defined_trehalose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Beta-Lactose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Butanol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Citric Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Cytidine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,"D,L-Malic Acid",FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Alanine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Arabinose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Fructose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Galactose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Galacturonic Acid monohydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Glucosamine Hydrochloride,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Glucose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Glucose-6-Phosphate sodium salt,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Lysine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Mannitol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Mannose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Raffinose pentahydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Ribose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Salicin,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Serine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Sorbitol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Tagatose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Trehalose dihydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,D-Xylose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Decanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Disodium Glutarate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Ethanol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Ferulic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Fumaric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Gly-Glu,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Glycerol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Glycine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Glycolic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Heptanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Hexanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Hydroxy-L-Proline,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Inosine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Isomaltose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Itaconic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Alanine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Arabinose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Arginine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Asparagine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Aspartic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Citrulline,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Cysteine hydrochloride monohydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Fucose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Glutamic acid monopotassium salt monohydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Glutamine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Histidine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Isoleucine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Leucine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Lysine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Malic acid disodium salt monohydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Methionine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Ornithine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Phenylalanine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Proline,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Serine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Sorbose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Threonine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Tryptophan,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-Valine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,L-tyrosine disodium salt,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Lacto-N-tetraose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Lactulose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Lauric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Levulinic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Malonic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Melibiose,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Myristic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,N-Acetyl-D-Glucosamine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Nonanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Octanoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Oleic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Phenylacetic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Pimelic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Potassium acetate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Protocatechuic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Putrescine Dihydrochloride,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sebacic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Shikimic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,"Sodium D,L-Lactate",FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium D-Lactate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium Formate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium Fumarate dibasic,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium L-Lactate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium acetate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium adipate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium butyrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium octanoate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium propionate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium pyruvate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Sodium succinate dibasic hexahydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Succinic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Thymidine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Trisodium citrate dihydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Uridine,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Valeric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Vanillic Acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Vanillin,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,Xylitol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,a-Ketoglutaric acid disodium salt hydrate,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,benzoic acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,m-Inositol,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,p-Coumaric acid,FBA error: 'cpd00007'
Cupriavidus basilensis FW507-4G11,Cup4G11,palatinose hydrate,FBA error: 'cpd00007'
Dechlorosoma suillum PS,PS,"1,2-Propanediol",FBA error: 'cpd00007'
Dechlorosoma suillum PS,PS,"1,3-Butandiol",FBA error: 'cpd00007'
Dechlorosoma suillum PS,PS,1-Pentanol,FBA error: 'cpd00007'
Dechlorosoma suillum PS,PS,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Dechlorosoma suillum PS,PS,2-methyl-1-butanol,FBA error: 'cpd00007'
